nombre,upc,precio,imagen
Omega 3 30 Caps De Asta Liv Con Aceite D,750634010000,$390.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/7/5/750634010000_00.jpg
Oa Histiacil Adulto Jbe 150 Ml +10 Caps,750116501037,$102.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/7/5/750116501037_00.jpg
Shampoo Intimo Lactacyd 250 Ml + 25% Gra,750116500992,$59.90,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/7/5/750116500992_00.jpg
Bronco Spray Broncolin 50 Ml Extracto De,71470690366,$83.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/7/1/71470690366_00.jpg
Locion Paraklin Pedicculicida Armstrong,750108981055,$159.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/7/5/750108981055_00.jpg
Frisolac 2 Gold 400 Gr,871620071338,$143.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/8/7/871620071338_00.jpg
Phemeday Gel 200Ml,750125081078,$157.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/7/5/750125081078_00.jpg
Lunarium 14 Caps 100/300 Mg Italmex,750139091384,$184.00,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/7/5/750139091384_01.jpg
Agrifen Rlx Miel Con Limon 500 Mg 10 Mg,750112516399,$55.70,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/7/5/750112516399_01.jpg
Manzanilla Grisi Sol Oftalmica Grisi 1,750102210139,$41.50,http://www.chedraui.com.mx/media/catalog/product/cache/8/small_image/300x300/9df78eab33525d08d6e5fb8d27136e95/7/5/750102210139_01.jpg
